2016-04-27 167!-1 4764823257822880875066747269973976296858709064053 SAI, b1=110e6, sigma=1319198782
2016-07-07 227!+1 6768556356002469193413203013609710843475413 SAI, b1=11e6, sigma=1593276784
2016-07-27 208003!-1 P Sou Fukui
2016-09-12 237!-1 944383927471765151041266185730815473 SAI, b1=11e6, sigma=2204579230
2016-09-12 236!-1 140445193193123757239903797035558397 SAI, b1=11e6, sigma=2587756893
2016-09-12 236!-1 P SAI
2016-09-13 233!+1 43453755981966225744927853433588459 SAI, b1=11e6, sigma=453707068
2016-09-13 233!+1 P SAI
2016-09-27 239!-1 343412976975306854751123016757062317349 SAI, b1=11e6, sigma=3464603070
2016-09-30 2401!+1 10922588655571489409 SAI, b1=10000, sigma=1439528226
2016-09-30 2403!+1 14176892794979 SAI, b1=10000, sigma=987654266
2016-10-01 2411!-1 23296801227082231 SAI, b1=10000, sigma=3922945626
2016-10-01 2413!-1 33523498291009 SAI, b1=10000, sigma=2731297130
2016-10-01 2413!-1 11839695106758119 SAI, b1=10000, sigma=2731297130
2016-10-01 2413!-1 17466964283021630411 SAI, b1=10000, sigma=1728509832
2016-10-01 2413!-1 688944095837265900173 SAI, b1=10000, sigma=341881320
2016-10-01 2416!-1 16770475902881 SAI, b1=10000, sigma=3022545229
2016-10-01 2418!+1 12150107672069622523 SAI, b1=10000, sigma=2121504377
2016-10-01 2420!-1 51589197029318272733 SAI, b1=10000, sigma=1807119432
2016-10-01 2421!-1 66961694225060045107 SAI, b1=10000, sigma=499944479
2016-10-01 2422!+1 81136841682563 SAI, b1=10000, sigma=214760892
2016-10-01 2424!+1 1562007960891593 SAI, b1=10000, sigma=302869697
2016-10-01 2425!+1 26658923923897 SAI, b1=10000
2016-10-01 2426!-1 3513056770183403 SAI, b1=10000
2016-10-01 2426!-1 66497346448290929 SAI, b1=10000
2016-10-01 2426!+1 1074804237102313 SAI, b1=10000
2016-10-01 2430!-1 80444341348365889 SAI, b1=10000
2016-10-01 2430!-1 1568243082680486977 SAI, b1=10000
2016-10-01 2431!-1 239324922198280931 SAI, b1=10000
2016-10-01 2432!+1 64509753061624294013 SAI, b1=10000
2016-10-01 2435!-1 98586757690699 SAI, b1=10000
2016-10-01 2435!-1 1566755122366829957 SAI, b1=10000
2016-10-02 2438!-1 46239984755527 SAI, b1=10000
2016-10-02 2438!-1 974058071128997 SAI, b1=10000
2016-10-02 2438!+1 46962699943129 SAI, b1=10000
2016-10-02 2439!+1 264596158653557 SAI, b1=10000
2016-10-02 2440!+1 81520606380833509 SAI, b1=10000
2016-10-02 2440!+1 20132576714108753 SAI, b1=10000
2016-10-02 2441!+1 397100518603482509 SAI, b1=10000
2016-10-02 2441!+1 1637584766534974998577 SAI, b1=10000
2016-10-02 2441!+1 88368327189428230649 SAI, b1=10000
2016-10-02 2442!+1 7510390283773957 SAI, b1=10000
2016-10-02 2445!+1 2881001795384081 SAI, b1=10000
2016-10-02 2446!+1 14909731274279 SAI, b1=10000
2016-10-02 2446!+1 59850659904849429437 SAI, b1=10000
2016-10-02 2447!-1 1624881519170761 SAI, b1=10000
2016-10-02 2448!-1 227511317768747 SAI, b1=10000
2016-10-02 2448!+1 62631062650099 SAI, b1=10000
2016-10-02 2451!+1 813812326253977 SAI, b1=10000
2016-10-02 2452!+1 47900280174452971 SAI, b1=10000
2016-10-02 2453!-1 56322530498693366959 SAI, b1=10000
2016-10-02 2454!-1 318353048862773 SAI, b1=10000
2016-10-02 2456!-1 23699214286875673901 SAI, b1=10000
2016-10-02 2457!+1 163624746958579 SAI, b1=10000
2016-10-02 2459!-1 1900138961781941 SAI, b1=10000
2016-10-02 2460!-1 397634190867643 SAI, b1=10000
2016-10-02 2461!-1 13340514504691270409 SAI, b1=10000
2016-10-02 2462!-1 460105793006629642507 SAI, b1=10000
2016-10-02 2464!+1 20455699201351 SAI, b1=10000
2016-10-03 2466!+1 27216900049081 SAI, b1=10000
2016-10-03 2466!+1 860617103938815241 SAI, b1=10000
2016-10-03 2466!+1 6477307131508082887 SAI, b1=10000
2016-10-03 2469!+1 210942008044363 SAI, b1=10000
2016-10-03 2469!+1 4469075542794171919 SAI, b1=10000
2016-10-03 2470!-1 14731802181737 SAI, b1=10000
2016-10-03 2474!-1 93549245271547729 SAI, b1=10000
2016-10-03 2474!+1 736327133185141 SAI, b1=10000
2016-10-03 2475!-1 147750622884457969 SAI, b1=10000
2016-10-03 2476!-1 97105513691801 SAI, b1=10000
2016-10-03 2476!+1 32947680381389 SAI, b1=10000
2016-10-03 2477!+1 81124507757326529 SAI, b1=10000
2016-10-03 2478!-1 4031342753491 SAI, b1=10000
2016-10-04 2485!+1 249087769816961 SAI, b1=10000
2016-10-04 2485!+1 1546291916243203556241179 SAI, b1=10000
2016-10-04 2486!+1 1633516002241 SAI, b1=10000
2016-10-04 2489!+1 32571183296233 SAI, b1=10000
2016-10-04 2490!+1 649430441452946414106653 SAI, b1=10000
2016-10-04 2491!+1 98201373725089 SAI, b1=10000
2016-10-04 2491!+1 395073906180869009 SAI, b1=10000
2016-10-04 2492!-1 216945601042903 SAI, b1=10000
2016-10-04 2493!-1 1073516058927050798431 SAI, b1=10000
2016-10-04 2494!-1 79942028575127 SAI, b1=10000
2016-10-04 2494!+1 23696386930507 SAI, b1=10000
2016-10-04 2496!+1 7724905414785010043 SAI, b1=10000
2016-10-04 2497!-1 8962239248292413 SAI, b1=10000
2016-10-04 2497!-1 88723559433554861 SAI, b1=10000
2016-10-04 2497!-1 1169913586210907257 SAI, b1=10000
2016-10-04 2498!-1 3245688037212774099181 SAI, b1=10000
2016-10-04 2300!+1 171564268893632274506417 SAI, b1=10000
2016-10-05 2313!-1 45227363951126971 SAI, b1=10000
2016-10-05 2313!-1 9943131317187272873 SAI, b1=10000
2016-10-05 2315!+1 30130395258809 SAI, b1=10000
2016-10-05 2317!-1 19971059095357 SAI, b1=10000
2016-10-05 2317!-1 23690109952408847219 SAI, b1=10000
2016-10-05 2317!+1 209909768361203963821 SAI, b1=10000
2016-10-05 2319!-1 19047192750716945005391 SAI, b1=10000
2016-10-05 2321!+1 6553910547883 SAI, b1=10000
2016-10-05 2325!-1 184145498608609 SAI, b1=10000
2016-10-05 2327!+1 1616869700658572677 SAI, b1=10000
2016-10-05 2329!-1 140727655580334827 SAI, b1=10000
2016-10-05 2329!-1 2735422370699 SAI, b1=10000
2016-10-05 2329!+1 1575262842568553 SAI, b1=10000
2016-10-05 2330!+1 1112166123550371011 SAI, b1=10000
2016-10-05 2332!-1 5518697150968041181 SAI, b1=10000
2016-10-05 2338!-1 22868590742969 SAI, b1=10000
2016-10-05 2341!+1 33307754923194877245011 SAI, b1=10000
2016-10-06 2342!+1 17014904722761406679 SAI, b1=10000
2016-10-06 2343!-1 34129076318155776691 SAI, b1=10000
2016-10-06 2345!-1 7452645602003377 SAI, b1=10000
2016-10-06 2345!-1 9530667262090441 SAI, b1=10000
2016-10-06 2346!-1 21404612861171 SAI, b1=10000
2016-10-06 2347!+1 239836751624149 SAI, b1=10000
2016-10-06 2347!+1 7982085357379403 SAI, b1=10000
2016-10-06 2351!+1 948417697697104433 SAI, b1=10000
2016-10-06 2352!-1 25745281274364397 SAI, b1=10000
2016-10-06 2355!+1 127474581052813 SAI, b1=10000
2016-10-06 2356!+1 7744463090603 SAI, b1=10000
2016-10-06 2358!+1 13863589900678301449 SAI, b1=10000
2016-10-06 2358!+1 482265553470297886591 SAI, b1=10000
