# Unless otherwise noted factors found for base < 10 were found
# by Sean A. Irvine.  Factors are given here in decimal.
# Note this is very incomplete.  Others have taken over these numbers
# and I've essentially stopped work on them.
2005-05-19 HP[9]16    1015179412517682216362280776093953604617 Hallstein, msieve
2005-05-20 HP[7]18    371013244266675855845193344908135995895243 Hallstein, msieve
2005-05-23 HP[2]2295  87993253050176825503599410239201 Hallstein, msieve
2005-05-25 HP[2]2295  79791641960733700332536153523076769773 Hallstein, msieve
2005-05-27 HP[2]2295  116438896651595189538330727307253520001267974637 Hallstein, msieve
2005-05-31 HP[7]18    132244462474831342486171960234453324886977 Hallstein, msieve
2005-06-03 HP[2]2295  599750042428734726236456688976988853410354383 Hallstein, msieve
2005-06-10 HP[7]18    428481889351965858172406512943805932978882641 Hallstein, msieve
2005-06-27 HP[2]2295  2249401925384020077022491571346097284676031 Hallstein, msieve
2005-07-06 HP[2]2295  942288967410056777543868384029084439544231 Hallstein, msieve
2005-08-12 HP[3]64    414800174341992492933668691528604020136729469 Hallstein, msieve
2005-09-07 HP[4]66    2996437277653288869552117145695811917031 Hallstein, msieve
2005-09-19 HP[9]16    28078879038803923620150135178608084617229193 Hallstein, msieve
2005-09-21 HP[6]96    5788730830672172037465049896876269 Hallstein, msieve
2014-10-04 HP[10]117  57999185025539581493090229022659057407046561926157771218233736154789469010389546134055763746997 WraithX, GNFS
