# Smarandache numbers.
# Numbers formed by concatenation of positive integers in numerical order.
1 1
2 2^2.3
3 3.41
4 2.617
5 3.5.823
6 2^6.3.643
7 127.9721
8 2.3^2.47.14593
9 3^2.3607.3803 
10 2.5.1234567891
11 3.7.13.67.107.630803
12 2^3.3.2437.2110805449
13 113.125693.869211457
14 2.3.205761315168520219
15 3.5.8230452606740808761
16 2^2.2507191691.1231026625769
17 3^2.47.4993.584538396786764503
18 2.3^2.97.88241.801309546900123763
19 13.43.79.281.1193.833929457045867563
20 2^5.3.5.323339.3347983.2375923237887317
21 3.17.37.43.103.131.140453.802851238177109689
22 2.7.1427.3169.85829.2271991367799686681549
23 3.41.769.13052194181136110820214375991629
24 2^2.3.7.978770977394515241.1501601205715706321
25 5^2.15461.31309647077.1020138683879280489689401
26 2.3^4.21347.2345807.982658598563.154870313069150249
27 3^3.19^2.4547.68891.40434918154163992944412000742833
28 2^3.47.409.416603295903037.192699737522238137890605091
29 3.859.24526282862310130729.19532994432886141889218213
30 2.3.5.13.49269439.370677592383442753.17333107067824345178861
31 29.2597152967.163915283880121143989433769727058554332117
32 2^2.3.7.45068391478912519182079.326109637274901966196516045637
33 3.23.269.7547.116620853190351161.7557237004029029700530634132859
34 2.6172839455055606570758085909601061116212631364146515661667
35 3^2.5.139.151.64279903.4462548227.4556722495899317991381926119681186927
36 2^4.3^2.103.211.39448709943503776711542648338171477043440283875433388943
37 71.12379.4616929.3042410911077206144807069396988766146557218727107817
38 2.3.86893956354189878775643.2367958875411463048104007458352976869124861
39 3.67.311.1039.6216157781332031799688469.305788363093026251381516836994235539
40 2^2.5.3169.60757.579779.4362289433.79501124416220680469.15944694111943672435829023
41 3.487.493127.32002651.53545135784961981058419604998638516483529257158438201753
42 2.3.127.421.22555732187.4562371492227327125110177.3739644646350764691998599898592229
43 7.17.449.231058353953907153927797941629430896528705484237484443924582239474910453
44 2^3.3^2.12797571009458074720816277.1339846151380678925030581935625950075102697197563351
45 3^2.5.7.41.727.1291.2634831682519.379655178169650473.10181639342830457495311038751840866580037
46 2.31.103.270408101.374332796208406291.3890951821355123413169209.4908543378923330485082351119
47 3.4813.679751.4626659581180187993501.27186948196033729596487563460186407241534572026740723
48 2^2.3.179.1493.1894439.15771940624188426710323588657.1288413105003100659990273192963354903752853409
49 23.109.3251653.2191196713.53481597817014258108937.12923219128084505550382930974691083231834648599
50 2.3.5^2.13.211.20479.160189818494829241.46218039785302111919.19789860528346995527543912534464764790909391
51 3.17708093685609923339.2323923950500978408934946776574079545611397611995364705071565292612305003
52 2^7.43090793230759613.2238311464092386636761884511894978048448617178182150344531477542781856216843
53 3^3.7^3.127534541853151177.1045271879581348729278017817925065799872257805888381045072615907010178634849
54 2.3^6.79.389.3167.13309.69526661707.8786705495566261913717.107006417566370797549761092803112128112769421435739
55 5.768643901.641559846437453.1187847380143694126117.4215236719202000513320239996510510828557825033460062191
56 2^2.3.4324751743617631024407823.23788800764365032854813369830458732886158417401021113465643479155975828316681
57 3.17.36769067.2205251248721.2128126623795388466914401931224151279.14028351843196901173601082244449305344230057319
58 2.13.1448595612076564044790098185437.327789067063631145720134335581588856152921479945230066396717484857630796759
59 3.340038104073949513.324621819487091567830636828971096713.3728107520554143574058126525447653708074390492098041537
60 2^3.3.5.97.157.67555753880267981819314968257940564232852139165917171861439543181780049107204700168947673874146559500327
61 10386763.35280457769357.33689963756771087787406890988794422071942750389483226687410462898596940470571223420915460371
62 2.3^2.1709.329167.1830733.9703956232921821226401223348541281.6862941251271421600892952202464376235224342144596167046191804311
63 3^2.17028095263.2435984189933032657913735712547671618367909.330698276590517405413770500371046766676563523569978590938716221
64 2^2.7.17.19.197.522673.1072389445090071307.20203723083803464811983788589.611891180337745942599768541236768900814521123060392220304537
65 3.5.31.83719.8018741962917674781000851595476715337223177.3954865825608609239925917139441010044747553878722812487568124023324127
66 2.3.7.20143.971077.319873117219722504963051951872747251.927600480728565729398211282118577179.506464674142683362314480915373647544917
67 397.183783139772372071.169207186381096030569641287629182352063847752831832860300985727686482291228260812667458777140342739211041
68 2^4.3.23.764558869.1811890921.16210201583355429120740178111425145802012035286597.49798299077316075944525952275152868666920234906076151289
69 3.13.23.8684576204660284317187.281259608597535749175083.15490495288652004091050327089107.3637485176043309178386946614318767365372143115591
70 2.5.2411111.109315518091391293936799.11555516101313335177332236222295571524323.405346669169620786437208619979711016226055320437594464205451
71 3^2.83.2281.7484379467407391660418419352839.96808455591058960266687738381050176698103277406505724847082994829643349780363432993640165860627
72 2^2.3^2.5119.596176870295201674946617769.1123704769960650101739921630151581054522510738566183226239911321871780637830758881774623162921434662407
73 37907.1612352371081094864112011094480307952600705089.201992666185187831800817490810938117880341395186600971262233773863756955874363353778851
74 2.3.7.1788313.21565573.99014155049267797799.1634187291640507800518363.1981231397449722872290863561307.2377534541508613492655260491688014802698908815817
75 3.5^2.193283.38824496309870038690197243565592769246963314017.219358378032318168161320006998916878634145966511629131235131312083699783021949850982403
76 2^3.828699354354766183.213643895352490047310058981.8716407028594814374740596028898426313034395366012872513707917231855753694435270081076237925828389
77 3.383481022289718079599637.874911832937988998935021.164811751226239402858361187055939797929.7442132227048590901854639419294226672231934035068486536423
78 2.3.31.185897.205155431830422787082756234197593935249202704547671264423.17403902113720391120287411398887911225298966708915583006414519403038472992542973083
79 73.137.22683534613064519783.132316335833889742191773.35488612864124533038957177977.11589330059060921218833486882285427414280233987959540582909167514265308253
80 2^2.3^3.5.101.10263751.1295331340195453366408489.1702600917839548328745392482587491026230318172323434581398602992701169952537157469971305061091390839579932352102383
81 3^3.509.152873624211113444108313548197.58762581888644185603361112342786137599799640821735382180404307223995625796855706598141292123658134092320545833186103011
82 2.29.4703.10091.12295349967251726424104854676730107.334523571229968373890203385137399026475051.1090461105551993653223776199179348475393504023636425991597284018461539
83 3.53.503.177918442980303859.21875480270521598141087357354188092945840550359281483.3966169790267211790412249283896602109358687165012835285295541472324348526743126307
84 2^5.3.1286008219803251368907934564500221065877631534197190762847328503894160459817025473591130156786722443288099853756419412985069550726116382682039247695813352379
85 5.7^2.120549814855596987772827562271063563633851059.2112809210944968177871685727287164545437750155430310661.197843626412162026434764405036310959588059884460495810550047
86 2.3.23.1056149.718252229986396496762902999331863301257.10828687641092318839822035841363590407263202742239027773.1089075252400674157091531724111232381528208779232955680665273
87 3.7.231330259.4275444601.101784611215757903569658774280830604745279416597473.58398250025786270255235847423735930777973447337337804788906368149837276410666257137526766841721
88 2^2.12414068351873.462668377429470430246269302055630668010673.144494999796935291164027251780366969508458166480331.3718931833006826909360514481439595803175244655637881136348103
89 3^2.13.31.97.163060459.789841356493369879.496118159817126721484175235476073.26459905787227421825352754831024262009257.2075552579046417801880667285191357553672027185826871770761977511
90 2.3^2.5.1987.179827.2166457.5469640487155071172064105436159054827205011884517193846381587779057.323974513721871489318385733207245357406204798917206286895918649972193592038458818136011
91 37.607.5713601747802353.100397446615566314002487.3581874457050057021838729610409482762969149632972915379.267535593139950330755907265689770024664090795106497661308268157342396003221
92 2^3.3.75503.46731404628893905607210235741707.17357685121487530272314084020479969142526171001787819150223751641.839921864959969600234341350615454280584339900783049158479018433912354703
93 3.73.1051.3298142203.19544056951015647623992763251.4886013639051371332965225321191263200785903705285317.1703057751798522700187996077196637285517155003415445664199429017748369723643706497
94 2.12871181.98250285823.1825097233762709447432521941926649289213154260264910537140594516431173070300371.2674525573684858697560701870658348933916102325593721165422426453989766526938215889
95 3.5.7.401.244987542265129586458446183157595351.119684333324585760380296925278736677052991667067598465535119086641122308977254652550763964697554302296677991161440001789403458655109609795769
96 2^2.3.23.60331.7414218343605898007054904008539678229463872328651811494111562828507144051357405695052612835346584059319708614758837877621899193657692066488505067022654601125869790297498349041
97 13.949667608470093318578167063015547864032712517561002409487257972106456954941803426651911500396348881197366045850894335742820591305439790288275136759985244833729682214530699379184227669
98 2.3^2.23.37.199.1495444452918817.381502754125464943168932369122248696781.3588472635471667861938967869443938442910813342994227048889.197825482406769698151783117995020967519766027202915861687264259155363
99 3^2.31601.786576340181.37726668883887938032416757819314355053940153680075342644295667759.14627910783072606795565990651314126145674770336615677946549896262532933945988541999815567058347827465728809
100 2^2.5^2.7^3.8171.1065829.2824782749.20317177407273276661.970447246795177523033247400823.7420578382899399028284464392651452937744039836185355778662961413780805734369643748805299589898776112804950234221784569
101 3.8377.799917088062980754649.1399463086740105394672913130945493026937913499238148790743003.P109
102 2.3.19.89.3607.15887.32993.2865523753.P172
103 131.1231.1713675826579469.16908963624339537484508436321314327604030763349996047014668841426185197.P110

104 2^6.3.59.773.19601852982312892289.C177
#4590@11m
105 3.5.193.6942508281251.90853974148830729568788807471204169448373857.P146
106 2.11.127.827.95383501607400293616004374931.54259599094002572583355411045946413.375159085605310877928459072269605386653376782374874196433925741599663.P71
107 3^3.536288185369.P199
108 2^2.3^3.128451681010379681.132761751746390611923240080737166083.P161
109 7.1559.78176687.73024355266099724939.9943216978062352390003139833531.1330054388136326845371542874560114721263427298182714056642677810603.P90
110 2.3.5.4517.18443752916913621413.P198
