0023 \#
0024 \$ 
0025 \%
0026 \&
0027 '
002A \ast 
005C \textbackslash 
005E \^{}
005F \_
0060 \textasciigrave 
007B \lbrace 
007C \vert 
007D \rbrace 
007E ~
00A1 \textexclamdown 
00A2 \textcent 
00A3 \textsterling 
00A4 \textcurrency 
00A5 \textyen 
00A6 \textbrokenbar 
00A7 \textsection 
00A8 \textasciidieresis 
00A9 \textcopyright 
00AA \textordfeminine 
00AB \guillemotleft 
00AC \lnot 
00AD \-
00AE \textregistered 
00AF \textasciimacron 
00B0 \textdegree 
00B1 \pm 
00B2 {^2}
00B3 {^3}
00B4 \textasciiacute 
00B5 \mathrm{\mu}
00B6 \textparagraph 
00B7 \cdot 
00B8 \c{}
00B9 {^1}
00BA \textordmasculine 
00BB \guillemotright 
00BC \textonequarter 
00BD \textonehalf 
00BE \textthreequarters 
00BF \textquestiondown 
00C0 \`A
00C1 \'A
00C2 \^A
00C3 \~A
00C4 \"A
00C5 \AA 
00C6 \AE 
00C7 \c C
00C8 \`E
00C9 \'E
00CA \^E
00CB \"E
00CC \`I
00CD \'I
00CE \^I
00CF \"I
00D0 \D H 
00D1 \~N
00D2 \`O
00D3 \'O
00D4 \^O
00D5 \~O
00D6 \"O
00D7 \texttimes 
00D8 \O 
00D9 \`U
00DA \'U
00DB \^U
00DC \"U
00DD \'Y
00DE {\Thorn}
00DF {\ss}
00E0 \`a
00E1 \'a
00E2 \^a
00E3 \~a
00E4 \"a
00E5 {\aa}
00E6 {\ae}
00E7 \c c
00E8 \`e
00E9 \'e
00EA \^e
00EB \"e
00EC \`{\i}
00ED \'{\i}
00EE \^{\i}
00EF \"{\i}
00F0 \d h 
00F1 \~n
00F2 \`o
00F3 \'o
00F4 \^o
00F5 \~o
00F6 \"o
00F7 \div 
00F8 \o 
00F9 \`u
00FA \'u
00FB \^u
00FC \"u
00FD \'y
00FE \th 
00FF \"y
0100 \=A
0101 \=a
0102 \u A
0103 \u a
0104 \k A
0105 \k a
0106 \'C
0107 \'c
0108 \^C
0109 \^c
010A \.C
010B \.c
010C \v C
010D \v c
010E \v D
010F \v d
0110 {\Eth}
0111 \d j 
0112 \=E
0113 \=e
0114 \u E
0115 \u e
0116 \.E
0117 \.e
0118 \k E
0119 \k e
011A \v E
011B \v e
011C \^G
011D \^g
011E \u G
011F \u g
0120 \.G
0121 \.g
0122 \c G
0123 \c g
0124 \^H
0125 \^h
0126 {\fontencoding{LELA}\selectfont\char40}
0127 \Elzxh 
0128 \~I
0129 \~{\i}
012A \=I
